model,request_id,label,user_id,role,clearance,trust_score,device_trust,operational_need,resource_id,classification,sensitivity,asset_id,action,location,location_risk,threat_level,n_threats,expected,decision,risk_score,reason,obligations,debug,ground_truth_match
DAC,S2-01,pay-targeted-severe,bob,analyst,2,0.85,0.85,0.55,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,1,DENY,ALLOW,0.0,bob has 'read' on payment_gateway via ACL,[],"{""owner"": ""payments_admin"", ""matched_via"": ""acl"", ""permitted_actions"": ""[\""read\"", \""write\""]""}",miss
DAC,S2-02,pay-targeted-severe-need,bob,analyst,2,0.85,0.85,0.65,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,1,DENY,ALLOW,0.0,bob has 'read' on payment_gateway via ACL,[],"{""owner"": ""payments_admin"", ""matched_via"": ""acl"", ""permitted_actions"": ""[\""read\"", \""write\""]""}",miss
DAC,S2-03,pay-targeted-severe-with-noise,bob,analyst,2,0.85,0.85,0.55,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,2,DENY,ALLOW,0.0,bob has 'read' on payment_gateway via ACL,[],"{""owner"": ""payments_admin"", ""matched_via"": ""acl"", ""permitted_actions"": ""[\""read\"", \""write\""]""}",miss
DAC,S2-04,pay-targeted-multi,bob,analyst,2,0.85,0.85,0.5,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,2,DENY,ALLOW,0.0,bob has 'read' on payment_gateway via ACL,[],"{""owner"": ""payments_admin"", ""matched_via"": ""acl"", ""permitted_actions"": ""[\""read\"", \""write\""]""}",miss
DAC,S2-05,pay-quiet,bob,analyst,2,0.85,0.85,0.55,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,0,ALLOW,ALLOW,0.0,bob has 'read' on payment_gateway via ACL,[],"{""owner"": ""payments_admin"", ""matched_via"": ""acl"", ""permitted_actions"": ""[\""read\"", \""write\""]""}",match
DAC,S2-06,pay-quiet-need,bob,analyst,2,0.85,0.85,0.75,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,0,ALLOW,ALLOW,0.0,bob has 'read' on payment_gateway via ACL,[],"{""owner"": ""payments_admin"", ""matched_via"": ""acl"", ""permitted_actions"": ""[\""read\"", \""write\""]""}",match
DAC,S2-07,pay-noise-only,bob,analyst,2,0.85,0.85,0.55,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,1,ALLOW,ALLOW,0.0,bob has 'read' on payment_gateway via ACL,[],"{""owner"": ""payments_admin"", ""matched_via"": ""acl"", ""permitted_actions"": ""[\""read\"", \""write\""]""}",match
DAC,S2-08,pay-quiet-routine,bob,analyst,2,0.85,0.85,0.5,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,0,ALLOW,ALLOW,0.0,bob has 'read' on payment_gateway via ACL,[],"{""owner"": ""payments_admin"", ""matched_via"": ""acl"", ""permitted_actions"": ""[\""read\"", \""write\""]""}",match
DAC,S2-09,sbx-targeted-severe,bob,analyst,2,0.85,0.85,0.55,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,1,ALLOW,ALLOW,0.0,bob has 'read' on sandbox_kb via ACL,[],"{""owner"": ""sandbox_admin"", ""matched_via"": ""acl"", ""permitted_actions"": ""[\""read\"", \""write\""]""}",match
DAC,S2-10,sbx-targeted-severe-need,bob,analyst,2,0.85,0.85,0.65,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,1,ALLOW,ALLOW,0.0,bob has 'read' on sandbox_kb via ACL,[],"{""owner"": ""sandbox_admin"", ""matched_via"": ""acl"", ""permitted_actions"": ""[\""read\"", \""write\""]""}",match
